type,passage,original,question,choices,answer
grammar,"A member of the Cherokee Nation, Mary Golda Ross is renowned for her contributions to NASA’s Planetary Flight Handbook, which provided detailed mathematical guidance for missions to Mars and Venus.","A member of the Cherokee Nation, Mary Golda Ross is renowned for her contributions to NASA’s Planetary Flight Handbook, which _______ detailed mathematical guidance for missions to Mars and Venus.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) provided B) having provided C) to provide D) providing,provided
grammar,"Typically, underlines, scribbles, and notes left in the margins by a former owner lower a book’s value, but when the former owner is a famous poet like Walt Whitman, such markings, known as marginalia, can be a gold mine to literary scholars.","Typically, underlines, scribbles, and notes left in the margins by a former owner lower a book’s _______ when the former owner is a famous poet like Walt Whitman, such markings, known as marginalia, can be a gold mine to literary scholars.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) value, but B) value C) value, D) value but","value, but"
grammar,"After the United Kingdom began rolling out taxes equivalent to a few cents on single-use plastic grocery bags in 2011, plastic-bag consumption decreased by up to ninety percent. Such taxes are subject to what economists call the “rebound effect”: as the change became normalized, plastic-bag use started to creep back up.","After the United Kingdom began rolling out taxes equivalent to a few cents on single-use plastic grocery bags in 2011, plastic-bag consumption decreased by up to ninety _______ taxes are subject to what economists call the “rebound effect”: as the change became normalized, plastic-bag use started to creep back up.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) percent, such B) percent and such C) percent. Such D) percent such",percent. Such
grammar,"As British scientist Peter Whibberley has observed, “the Earth is not a very good timekeeper.” Earth’s slightly irregular rotation rate means that measurements of time must be periodically adjusted. Specifically, an extra “leap second” (the 86,401st second of the day) is added whenever time based on the planet’s rotation lags a full nine-tenths of a second behind time kept by precise atomic clocks.","As British scientist Peter Whibberley has observed, “the Earth is not a very good timekeeper.” Earth’s slightly irregular rotation rate means that measurements of time must be periodically adjusted. Specifically, an extra “leap second” (the 86,401st second of the day) is _______ time based on the planet’s rotation lags a full nine-tenths of a second behind time kept by precise atomic clocks.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) added, whenever B) added; whenever C) added. Whenever D) added whenever",added whenever
grammar,"Bengali author Toru Dutt’s <em>A Sheaf Gleaned in French Fields</em> (1876), a volume of English translations of French poems, has enhanced scholars’ understanding of the transnational and multilingual contexts in which Dutt lived and worked.","Bengali author Toru Dutt’s <em>A Sheaf Gleaned in French Fields</em> (1876), a volume of English translations of French poems, _______ scholars’ understanding of the transnational and multilingual contexts in which Dutt lived and worked.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) has enhanced B) are enhancing C) have enhanced D) enhance,has enhanced
grammar,"Journalists have dubbed Gil Scott-Heron the “godfather of rap,” a title that has appeared in hundreds of articles about him since the 1990s. ScottHeron himself resisted the godfather nickname, however, feeling that it didn’t encapsulate his devotion to the broader African American blues music tradition as well as “bluesologist,” the moniker he preferred.","Journalists have dubbed Gil Scott-Heron the “godfather of rap,” a title that has appeared in hundreds of articles about him since the 1990s. ScottHeron himself resisted the godfather _______ feeling that it didn’t encapsulate his devotion to the broader African American blues music tradition as well as “bluesologist,” the moniker he preferred.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) nickname, however B) nickname, however; C) nickname, however, D) nickname; however,","nickname, however,"
grammar,"From afar, African American fiber artist Bisa Butler’s portraits look like paintings, their depictions of human faces, bodies, and clothing so intricate that it seems only a fine brush could have rendered them. When viewed up close, however, the portraits reveal themselves to be quilts, the stitching barely visible among the thousands of pieces of printed, microcut fabric.","From afar, African American fiber artist Bisa Butler’s portraits look like paintings, their depictions of human faces, bodies, and clothing so intricate that it seems only a fine brush could have rendered them. When viewed up close, however, the portraits reveal themselves to be _______ stitching barely visible among the thousands of pieces of printed, microcut fabric.",Which choice completes the text so that it conforms to the conventions of Standard English?,"A) quilts, and the B) quilts, the C) quilts; the D) quilts. The","quilts, the"
grammar,"Atoms in a synchrotron, a type of circular particle accelerator, travel faster and faster until they reach a desired energy level, at which point they are diverted to collide with a target, smashing the atoms.","Atoms in a synchrotron, a type of circular particle accelerator, travel faster and faster until they ______ a desired energy level, at which point they are diverted to collide with a target, smashing the atoms.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) will reach B) reach C) had reached D) are reaching,reach
grammar,"Even though bats prefer very sweet nectar, the plants that attract them have evolved to produce nectar that is only moderately sweet. A recent study explains why: making sugar is energy-intensive, and it is more advantageous for plants to make a large amount of low-sugar nectar than a small amount of high-sugar nectar.","Even though bats prefer very sweet nectar, the plants that attract them have evolved to produce nectar that is only moderately sweet. A recent study ______ why: making sugar is energy-intensive, and it is more advantageous for plants to make a large amount of low-sugar nectar than a small amount of high-sugar nectar.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) explains B) explaining C) having explained D) to explain,explains
grammar,"Former First Lady of the United States Eleanor Roosevelt and Indian activist and educator Hansa Mehta were instrumental in drafting the United Nations’ Universal Declaration of Human Rights, a document that outlines the basic freedoms to which all people are entitled.","Former First Lady of the United States Eleanor Roosevelt and Indian activist and educator Hansa Mehta were instrumental in drafting the United Nations’ Universal Declaration of Human Rights, a document that ______ the basic freedoms to which all people are entitled.",Which choice completes the text so that it conforms to the conventions of Standard English?,A) have outlined B) were outlining C) outlines D) outline,outlines
